,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Is This It,Is This It,The Strokes,2001-07-30,151333,55,0.667,0.147,0.667,0.692,3.75e-05,0.349,-8.361,0.0285,96.021,4
1,The Modern Age,Is This It,The Strokes,2001-07-30,208066,52,0.528,0.0116,0.528,0.888,0.762,0.154,-6.039,0.0326,145.971,4
2,Soma,Is This It,The Strokes,2001-07-30,153840,50,0.499,0.0747,0.499,0.706,0.00289,0.0753,-7.335,0.0302,148.931,4
3,Barely Legal,Is This It,The Strokes,2001-07-30,234693,52,0.426,0.00326,0.426,0.884,0.0495,0.0903,-6.279,0.0365,157.811,4
4,Someday,Is This It,The Strokes,2001-07-30,183440,64,0.538,0.00425,0.538,0.52,0.0,0.367,-7.46,0.0299,106.031,4
5,"Alone, Together",Is This It,The Strokes,2001-07-30,188640,48,0.515,0.00778,0.515,0.863,0.896,0.0616,-5.756,0.0308,143.017,4
6,Last Nite,Is This It,The Strokes,2001-07-30,193373,64,0.624,0.0223,0.624,0.899,0.000155,0.0975,-5.71,0.0295,104.055,4
7,Hard To Explain,Is This It,The Strokes,2001-07-30,224333,57,0.408,0.000456,0.408,0.665,0.863,0.0888,-6.286,0.0578,82.525,4
8,When It Started,Is This It,The Strokes,2001-07-30,175200,46,0.722,0.265,0.722,0.654,0.00392,0.15,-8.107,0.0328,131.962,4
9,Trying Your Luck,Is This It,The Strokes,2001-07-30,202760,48,0.503,0.00855,0.503,0.689,0.0126,0.131,-9.424,0.0313,143.906,4
10,Take It Or Leave It,Is This It,The Strokes,2001-07-30,196066,49,0.43,0.000959,0.43,0.913,0.369,0.137,-6.203,0.0389,154.066,4
11,What Ever Happened?,Room On Fire,The Strokes,2003-10-28,169273,58,0.547,9.67e-05,0.547,0.599,0.679,0.229,-6.057,0.0344,116.165,4
12,Reptilia,Room On Fire,The Strokes,2003-10-28,219753,73,0.486,0.000563,0.486,0.666,0.789,0.101,-5.084,0.033,157.992,4
13,Automatic Stop,Room On Fire,The Strokes,2003-10-28,207029,58,0.68,0.00336,0.68,0.536,0.737,0.0884,-6.078,0.0384,105.917,4
14,12:51,Room On Fire,The Strokes,2003-10-28,153133,60,0.452,0.312,0.452,0.889,0.8,0.558,-3.838,0.0379,145.056,4
15,You Talk Way Too Much,Room On Fire,The Strokes,2003-10-28,186038,51,0.308,0.0625,0.308,0.971,0.938,0.0806,-3.23,0.0344,128.204,4
16,Between Love & Hate,Room On Fire,The Strokes,2003-10-28,196347,53,0.453,5.35e-05,0.453,0.61,0.545,0.101,-4.935,0.0254,104.188,4
17,Meet Me in the Bathroom,Room On Fire,The Strokes,2003-10-28,176160,51,0.426,6.7e-05,0.426,0.94,0.883,0.0772,-3.973,0.0337,139.952,4
18,Under Control,Room On Fire,The Strokes,2003-10-28,187152,56,0.401,0.341,0.401,0.723,0.775,0.0543,-4.651,0.0291,90.596,4
19,The Way It Is,Room On Fire,The Strokes,2003-10-28,141502,47,0.481,0.000179,0.481,0.943,0.865,0.0985,-2.592,0.0495,137.091,4
20,The End Has No End,Room On Fire,The Strokes,2003-10-28,185434,55,0.536,0.000799,0.536,0.655,0.832,0.229,-3.713,0.0336,136.006,4
21,I Can't Win,Room On Fire,The Strokes,2003-10-28,161100,51,0.473,0.00492,0.473,0.745,0.634,0.105,-4.819,0.0321,97.449,4
22,You Only Live Once,First Impressions Of Earth,The Strokes,2006-01-03,189226,70,0.63,0.0238,0.63,0.908,0.592,0.116,-2.42,0.0326,120.522,4
23,Juicebox,First Impressions Of Earth,The Strokes,2006-01-03,194573,59,0.462,0.00166,0.462,0.981,0.00894,0.0856,-2.371,0.127,154.995,4
24,Heart In a Cage,First Impressions Of Earth,The Strokes,2006-01-03,206173,59,0.418,2.73e-06,0.418,0.857,0.805,0.368,-5.133,0.0404,140.02,4
25,Razorblade,First Impressions Of Earth,The Strokes,2006-01-03,208133,54,0.394,0.00201,0.394,0.859,0.233,0.1,-3.851,0.0409,136.075,5
26,On the Other Side,First Impressions Of Earth,The Strokes,2006-01-03,276506,52,0.605,0.00367,0.605,0.811,0.000116,0.135,-2.341,0.0316,108.992,4
